evolution$generation,evolution$evaluated,maxNewLinksNumber,densityConf,costTradeoff,nwDiameter,meanPathLength,meanBwCentrality,meanClosenessCentrality,meanRelativeSpeed,nwLength,evolution$samples,nwDiameter,meanBwCentrality,densityConf,nwLength,meanPathLength,nwSize,costTradeoff,maxNewLinksNumber,replication,meanRelativeSpeed,meanClosenessCentrality
500,500,16.82843897566857,15,0.03126945708730632,2.2634419181913854,0.7393572557763383,0.08182154757497223,0.023668094588621902,0.6070232354616508,532.5224554555367,1,"[2.2634419181913854]","[0.08182154757497223]","[15]","[532.5224554555367]","[0.7393572557763383]","[113.0]","[0.03126945708730632]","[16.82843897566857]","[1485658018]","[0.6070232354616508]","[0.023668094588621902]"
500,500,14.490500590744007,15,0.041145602682406246,1.6869014225000958,0.7912270813494557,0.0738465233096851,0.02453305507237692,0.5556276671070076,515.903543183055,1,"[1.6869014225000958]","[0.0738465233096851]","[15]","[515.903543183055]","[0.7912270813494557]","[108.0]","[0.041145602682406246]","[14.490500590744007]","[68100965]","[0.5556276671070076]","[0.02453305507237692]"
500,500,17.13319168945037,50,0.040293734558035164,1.4418349790419167,0.6400659825458903,0.062385964912280704,0.026797372890534476,0.652869957949054,560.9479898784342,1,"[1.4418349790419167]","[0.062385964912280704]","[50]","[560.9479898784342]","[0.6400659825458903]","[106.0]","[0.040293734558035164]","[17.13319168945037]","[-963525091]","[0.652869957949054]","[0.026797372890534476]"
500,500,9.962827042422404,35,0.03983721984998009,1.907495516307172,0.7502464180395855,0.09620592590376764,0.025457249170110212,0.5827725943921465,428.4172672945932,2,"[1.738067430756551,2.0769236018577932]","[0.09361607761607763,0.09879577419145764]","[35,35]","[413.9709502951947,442.8635842939917]","[0.7311293231032537,0.7693635129759172]","[106.0,112.0]","[0.03983721984998009,0.03983721984998009]","[9.962827042422404,9.962827042422404]","[507915693,385701016]","[0.5745830225041033,0.5909621662801896]","[0.026152516981765107,0.024761981358455313]"
500,500,17.01541418537273,6,0.039326005983427975,2.0311003084355637,0.7065198036368087,0.08326541036341506,0.03700359572347548,0.5953788319068337,458.260205247966,1,"[2.0311003084355637]","[0.08326541036341506]","[6]","[458.260205247966]","[0.7065198036368087]","[100.0]","[0.039326005983427975]","[17.01541418537273]","[-306775745]","[0.5953788319068337]","[0.03700359572347548]"
500,500,20.0,9,0.03615517096290232,1.4670313646029698,0.6281804720254707,0.05254888428801472,0.03309975786432554,0.6697504532261693,632.8852836212076,1,"[1.4670313646029698]","[0.05254888428801472]","[9]","[632.8852836212076]","[0.6281804720254707]","[108.0]","[0.03615517096290232]","[20.0]","[-1344038040]","[0.6697504532261693]","[0.03309975786432554]"
500,500,6.995758528096562,22,0.049136527858669475,1.7426016024613293,0.5889486534377091,0.09389766081871345,0.032312238991400816,0.5928565255532925,373.4294361870437,1,"[1.7426016024613293]","[0.09389766081871345]","[22]","[373.4294361870437]","[0.5889486534377091]","[104.0]","[0.049136527858669475]","[6.995758528096562]","[-86240671]","[0.5928565255532925]","[0.032312238991400816]"
500,500,19.294936415760176,30,0.038933508210395325,1.931520187673485,0.7505931622130406,0.06353851400822248,0.04696449624364908,0.6504338804302855,529.087723916334,2,"[2.133558949794861,1.7294814255521092]","[0.06815274277960845,0.05892428523683651]","[30,30]","[502.23100442047047,555.9444434121975]","[0.9430112663364068,0.5581750580896745]","[105.0,101.0]","[0.038933508210395325,0.038933508210395325]","[19.294936415760176,19.294936415760176]","[556503640,-357802686]","[0.5476568553870829,0.7532109054734881]","[0.037119755853763564,0.0568092366335346]"
500,500,15.73236474086777,37,0.03966166552657503,1.4452063290999084,0.7067640181074347,0.08155824790307549,0.02997496572266111,0.5939426239478627,463.6999730768979,1,"[1.4452063290999084]","[0.08155824790307549]","[37]","[463.6999730768979]","[0.7067640181074347]","[102.0]","[0.03966166552657503]","[15.73236474086777]","[1193699067]","[0.5939426239478627]","[0.02997496572266111]"
500,500,19.360581762599804,26,0.05,1.7740643982939763,0.7865014786746977,0.07647520909384964,0.03291156867921641,0.5780619320249161,544.7141385186768,1,"[1.7740643982939763]","[0.07647520909384964]","[26]","[544.7141385186768]","[0.7865014786746977]","[100.0]","[0.05]","[19.360581762599804]","[540005852]","[0.5780619320249161]","[0.03291156867921641]"
